"TLA NAME","CRASH ROAD","CRASH DIST","CRASH DIRN","INTSN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT","VEHICLES","CAUSES","OBJECTS STRUCK","ROAD CURVE","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","ROAD MARK","SPD LIM","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT","PERS AGE1","PERS AGE2","EASTING","NORTHING"
"Auckland","ALDERMAN DRIVE","20","W"," ","RATANUI ST","201435503","17/04/2014","Thu","1550","AA","BW14","386A ","","E","W","O ","F "," "," ","C","050","0","0","0","","","1745471","5917455",
"Auckland","ALDERMAN DRIVE",""," ","I","SEL PEACOCK DRIVE","201436706","21/05/2014","Wed","0850","FB","CN1C","181A ","","R","D","B ","F ","R","G","C","050","0","0","0","","","1745579","5917536",
"Auckland","ALEXANDER AVENUE","100","E"," ","REGATTA ROAD","201437164","30/05/2014","Fri","2330","EA","CW1M","371A ","M","R","D","DO","F "," ","N","N","050","0","0","0","","","1755478","5936389",
"Auckland","ALEXANDER CRESCENT",""," ","I","TOSO WAY","201411921","11/03/2014","Tue","1515","NA","CN1E","713B ","","R","D","BF","F ","T","N","N","050","0","0","1","10","","1766810","5908070",
"Auckland","ALFRED ST",""," ","I","CHURCH ST","201431864","12/02/2014","Wed","1613","DA","CE2C","111A 131A 430A ","M","R","D","OF","F ","X","G","C","050","0","0","0","","","1759828","5912260",
"Auckland","ALFRISTON ROAD","300","S"," ","ALFRISTON-ARDMORE ROAD","201411134","07/02/2014","Fri","2113","CC","CS1","110A 130A 402A 800 801 ","F","R","W","DN","L "," "," ","C","100","0","1","0","","","1773868","5902600",
"Auckland","ALFRISTON ROAD",""," ","I","CLAUDE ROAD","201438628","16/06/2014","Mon","1440","FB","CS2C","331A ","","R","W","O ","L ","T","S","C","050","0","0","0","","","1769380","5901033",
"Auckland","ALFRISTON ROAD","5","W"," ","FLEMING ST","201413265","07/06/2014","Sat","1514","NA","CE1E","386A ","","R","D","O ","F ","T","N","P","050","0","0","1","56","","1769338","5901015",
"Auckland","ALFRISTON ROAD",""," ","I","FLEMING ST","201434394","10/04/2014","Thu","0630","KB","CE1C","302B ","","R","D","O ","F ","T","G","C","050","0","0","0","","","1769343","5901017",
"Auckland","ALFRISTON ROAD",""," ","I","GREAT SOUTH ROAD","201438610","18/06/2014","Wed","1410","FE","CN2C","331A 357A ","","R","D","B ","F ","X","T","C","050","0","0","0","","","1768916","5900839",
"Auckland","ALFRISTON ROAD","800","E"," ","MILL ROAD","201410968","23/02/2014","Sun","1056","GA","CW1C","331A 350A 929 ","","R","D","BN","F ","D","N","L","080","0","0","2","","","1773275","5901854",
"Auckland","ALFRISTON ROAD","300","S"," ","RANFURLY ROAD","201430196","07/01/2014","Tue","1548","GE","CS1C","160A 353A 929 ","PS","R","D","BF","F ","D"," ","C","080","0","0","0","","","1771154","5901490",
"Auckland","ALFRISTON ROAD",""," ","I","SCOTTS ROAD","201431338","24/02/2014","Mon","0830","JA","CW1C","301B 363B 902 ","","R","D","BF","F ","T","S","C","050","0","0","0","","","1769656","5901146",
"Auckland","ALFRISTON ROAD",""," ","I","STRATFORD ROAD","201431509","14/01/2014","Tue","1750","HA","CS2C","302A ","","E","D","BF","F ","R","G","R","050","0","0","0","","","1770896","5901673",
"Auckland","ALIFORD AVENUE","100","N"," ","MAROA ROAD","201432862","28/02/2014","Fri","0900","BA","CS1C","129A ","","R","D","B ","F "," "," ","N","050","0","0","0","","","1760456","5914080",
"Auckland","ALLENDALE ROAD","100","W"," ","MOUNT ALBERT ROAD","201437300","07/06/2014","Sat","2332","CC","CW1","103A 130A 410A ","T","R","D","DO","F "," ","N","C","050","0","0","0","","","1752978","5916395",
"Auckland","ALLENDALE ROAD","70","E"," ","RICHARDSON ROAD","201431302","01/02/2014","Sat","2350","EA","CW1C","129A ","M","R","D","DO","F "," ","N","N","050","0","0","0","","","1752583","5915929",
