TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING
Hutt City,QUEENS DRIVE,, ,I,WOBURN ROAD,201436758,25/05/2014,Sun,1830,GO,CN1C,381A ,,E,D,DO,F ,R,G,C,50,0,0,0,,,1759255,5435905
Hutt City,RAILWAY AVENUE,5,E, ,VICTORIA SLIP,201431123,15/02/2014,Sat,2047,BA,CW1C,125A 330A 402A ,,R,D,DO,F ,T,N,C,50,0,0,0,,,1759005,5435874
Hutt City,RANDWICK ROAD,, ,I,LUDLAM CRESCENT,201412493,05/04/2014,Sat,335,DA,CN1,103A 111A 131A ,PS,E,D,DO,F ,R,G,R,50,0,1,0,,,1759835,5434821
Hutt City,RANDWICK ROAD,30,S, ,RANDWICK CRESCENT N,201433641,18/01/2014,Sat,1448,JA,CS1C,197A 308B 350B 930 ,,R,D,B ,F ,D, ,P,50,0,0,0,,,1759748,5434425
Hutt City,RANDWICK ROAD,, ,I,TIRANGI ROAD,201410649,16/02/2014,Sun,1358,JA,CN1C,302B 387B ,,R,D,B ,F ,T,G,C,50,0,0,1,,,1759621,5433840
Hutt City,RANDWICK ROAD,, ,I,WHITES LINE EAST,201411552,08/03/2014,Sat,607,CC,CS1,103A 129A ,F,R,D,DO,F ,R,G,L,50,0,0,1,,,1759835,5434821
Hutt City,RATA ST,, ,I,TOTARA ST,201433716,22/03/2014,Sat,1524,JA,CN1C,301B ,,R,D,O ,F ,T,S,C,50,0,0,0,,,1762249,5430795
Hutt City,REYNOLDS ST,, ,I,MILNE CRESCENT S,201431411,28/01/2014,Tue,2029,LB,CE1C,303B 363B 902 ,P,R,D,BF,F ,T,G,C,50,0,0,0,,,1763981,5439505
Hutt City,RICHMOND ST,30,N, ,THE ESPLANADE,201411109,05/04/2014,Sat,340,FA,CS1CC,112A 357A 512A 103B 112B 357B ,M,R,D,DO,F , , ,R,50,0,0,1,,,1757256,5434272
Hutt City,RIMU ST,, ,I,RATA ST,201436838,21/05/2014,Wed,1625,HA,CW2C,197A 197B 301B 402B ,IS,R,D,O ,F ,X,S,R,50,0,0,0,,,1764519,5437113
Hutt City,RUTHERFORD ST,, ,I,CONNOLLY ST,201432328,14/01/2014,Tue,1144,KA,CE1C,302B ,,M,D,B ,F ,R,G,R,50,0,0,0,,,1760259,5436805
Hutt City,RUTHERFORD ST,100,E, ,MELLING LINK,201412347,14/04/2014,Mon,1729,CB,CE1C,351A ,MS,R,D,O ,F , , ,C,50,0,0,2,,,1760094,5436741
Hutt City,RUTHERFORD ST,100,W, ,QUEENS DRIVE,201433539,14/04/2014,Mon,1730,EA,CW1C,129A ,M,R,D,OF,F , ,N,C,50,0,0,0,,,1759756,5436508
Hutt City,RUTHVEN ROAD,, ,I,CASTLEREA ST,201436669,11/05/2014,Sun,1836,DA,CS1C,101A 111A ,M,S,D,DN,F ,T,N,N,50,0,0,0,,,1763504,5431742
Hutt City,SEDDON ST,, ,I,GRIERSON ST,201410345,19/01/2014,Sun,25,EA,4S1C,103A 371A ,M,R,D,DO,F ,T,N,C,50,0,0,1,,,1763621,5436321
Hutt City,SH 2,, ,I,DOWSE DRIVE,201412946,27/05/2014,Tue,1708,KA,MW1V,302B ,,R,D,TO,F ,R,G,R,50,0,0,1,,,,
Hutt City,SLIP,50,W, ,OXFORD TERRACE,201431078,14/02/2014,Fri,1200,MB,CE1C,330B 372B ,,R,D,B ,F , ,N,C,50,0,0,0,,,1761229,5435956
Hutt City,STOCKDALE ST,100,W, ,WELLINGTON ROAD,201430512,19/01/2014,Sun,1725,LB,CE14,303B 929 ,,R,D,O ,F ,D,N,N,50,0,0,0,,,1763153,5433513
Hutt City,STOCKDALE ST,250,W, ,WELLINGTON ROAD,201436839,08/05/2014,Thu,330,MO,CE1C,129A 371A ,M,R,D,DO,F , , ,N,50,0,0,0,,,1763003,5433524
Hutt City,STOKES VALLEY ROAD,80,S, ,EASTERN HUTT ROAD,201435331,24/03/2014,Mon,737,AC,TN1C,372A ,,R,D,O ,F , , ,C,50,0,0,0,,,1766249,5441392
Hutt City,STOKES VALLEY ROAD,40,N, ,WAGON ROAD,201436685,08/05/2014,Thu,1554,AC,CN1C,330A 372A ,,E,D,O ,F , ,N,C,50,0,0,0,,,1766295,5441415
Hutt City,TAITA DRIVE,, ,I,BARRAUD ST,201438110,27/03/2014,Thu,1840,JA,SE1C,204A 308B 929 ,,R,D,BF,F ,D,N,C,50,0,0,0,,,1763152,5438495
Hutt City,TAITA DRIVE,300,S, ,HIGH ST,201412144,11/05/2014,Sun,1710,EA,CS1V,129A 358A ,M,R,D,TF,F , , ,C,50,0,0,1,,,1764602,5440494
Hutt City,THE ESPLANADE,100,E, ,HUTT ROAD,201430715,20/02/2014,Thu,803,AA,VE1C,387A ,,R,D,OF,F , ,N,R,50,0,0,0,,,1756206,5434614
Hutt City,THE ESPLANADE,5,W, ,JESSIE ST,201436585,21/04/2014,Mon,1522,FD,CE1C,110A 331A ,,R,D,B ,F ,T,G,R,50,0,0,0,,,1758306,5433819
Hutt City,THE ESPLANADE,210,W, ,NEVIS ST,201436833,22/05/2014,Thu,1457,AC,TE1T,112A 159A 184A ,,R,D,B ,F , , ,P,50,0,0,0,,,1756273,5434598
Hutt City,THE ESPLANADE,, ,I,TE PUNI ST,201413195,25/02/2014,Tue,758,MC,ME1C,202B 372B ,,R,D,B ,F ,T,G,R,50,0,1,0,,,1756577,5434491
Hutt City,THE ESPLANADE,, ,I,TE PUNI ST,201431698,23/01/2014,Thu,738,JA,CE1C,302B ,,R,D,B ,F ,T,G,C,50,0,0,0,,,1756577,5434491
Hutt City,THE ESPLANADE,, ,I,WILLIAM ST,201437058,09/03/2014,Sun,1421,MC,CE1C,372B ,,R,D,B ,F ,T,G,N,50,0,0,0,,,1758085,5433909
